ID_EoL,CanonicalName,BinomialName,Order,Family,Genus,Species,Domestication,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n_per_km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,Diet,AVGFoodConsumption,Sociality,SocialHierarchy,NumMales,MaturityReachMale,MaturityReachFemale,MatingSystem,NumOffspring,BreedingInterval,YearRoundBreeding,AVGBodyMass,ParentalCare,DevelopmentStrategy,HeadOrnaments,Lifespan,NaturalPredators,Motility,CarryWeight,PullStrength,AVGMovingSpeed,AVGTravelDistance
328705,Bos frontalis gaurus,Bos_frontalis,Artiodactyla,Bovidae,Bos,frontalis,https://academic.oup.com/mspecies/article/50/959/34/5075367,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,,,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,,PanTHERIA,PanTHERIA,,,PanTHERIA,PanTHERIA,,,,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
328700,Bos grunniens mutus,Bos_grunniens,Artiodactyla,Bovidae,Bos,grunniens,https://en.wikipedia.org/wiki/Wild_yak,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,,,,,PanTHERIA,PanTHERIA,PanTHERIA,,,PanTHERIA,,PanTHERIA,PanTHERIA,,,PanTHERIA,PanTHERIA,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
1037711,Bos javanicus,Bos_javanicus,Artiodactyla,Bovidae,Bos,javanicus,https://en.wikipedia.org/wiki/Banteng,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,,,,PanTHERIA,PanTHERIA,PanTHERIA,,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
328699,Bos taurus primigenius,Bos_taurus,Artiodactyla,Bovidae,Bos,taurus,https://en.wikipedia.org/wiki/Aurochs,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,https://en.wikipedia.org/wiki/Aurochs,Data deficient,PanTHERIA,,PanTHERIA,,,PanTHERIA,PanTHERIA,PanTHERIA,,,PanTHERIA,,PanTHERIA,PanTHERIA,,,,,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
311907,Bubalus bubalis arnee,Bubalus_bubalis,Artiodactyla,Bovidae,Bubalus,bubalis,https://en.wikipedia.org/wiki/Wild_water_buffalo,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,,PanTHERIA,,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
1038793,Budorcas taxicolor,Budorcas_taxicolor,Artiodactyla,Bovidae,Budorcas,taxicolor,https://link.springer.com/article/10.1007/s11676-007-0031-y,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,,,PanTHERIA,PanTHERIA,,PanTHERIA,,,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,,,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
344581,Camelus bactrianus,Camelus_bactrianus,Artiodactyla,Camelidae,Camelus,bactrianus,https://en.wikipedia.org/wiki/Bactrian_camel,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
309019,Camelus dromedarius,Camelus_dromedarius,Artiodactyla,Camelidae,Camelus,dromedarius,https://en.wikipedia.org/wiki/Dromedary,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
328660,Capra hircus aegagrus,Capra_hircus,Artiodactyla,Bovidae,Capra,hircus,https://en.wikipedia.org/wiki/Goat,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
328647,Equus africanus,Equus_asinus,Perissodactyla,Equidae,Equus,asinus,https://animaldiversity.org/accounts/Equus_asinus/,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,https://animaldiversity.org/accounts/Equus_asinus/#food_habits,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,,PanTHERIA,PanTHERIA,,PanTHERIA,,,PanTHERIA,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
