ID_EoL,CanonicalName,BinomialName,Order,Family,Genus,Species,Domestication,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n_per_km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,Diet,AVGFoodConsumption,Sociality,SocialHierarchy,NumMales,MaturityReachMale,MaturityReachFemale,MatingSystem,NumOffspring,BreedingInterval,YearRoundBreeding,AVGBodyMass,ParentalCare,DevelopmentStrategy,HeadOrnaments,Lifespan,NaturalPredators,Motility,CarryWeight,PullStrength,AVGMovingSpeed,AVGTravelDistance
328648,Equus przewalskii,Equus_caballus,Perissodactyla,Equidae,Equus,caballus,https://animaldiversity.org/accounts/Equus_caballus/,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
309018,Lama glama guanicoe,Lama_glama,Artiodactyla,Camelidae,Lama,glama,https://animaldiversity.org/accounts/Lama_glama/,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,,,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
311494,Madoqua saltiana,Madoqua_saltiana,Artiodactyla,Bovidae,Madoqua,saltiana,https://animaldiversity.org/accounts/Madoqua_saltiana/,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,PanTHERIA,PanTHERIA,https://animaldiversity.org/accounts/Madoqua_saltiana/,,,,,PanTHERIA,,PanTHERIA,PanTHERIA,,,,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,,,,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
311492,Neotragus batesi,Neotragus_batesi,Artiodactyla,Bovidae,Neotragus,batesi,https://animaldiversity.org/accounts/Neotragus_batesi/,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,,,,PanTHERIA,,PanTHERIA,PanTHERIA,,,,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,,,,,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
328677,Ovis ammon,Ovis_ammon,Artiodactyla,Bovidae,Ovis,ammon,https://animaldiversity.org/accounts/Ovis_ammon/,https://animaldiversity.org/accounts/Ovis_ammon/#behavior,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,,PanTHERIA,,PanTHERIA,,,PanTHERIA,PanTHERIA,PanTHERIA,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
311906,Ovis aries orientalis,Ovis_aries,Artiodactyla,Bovidae,Ovis,aries,https://animaldiversity.org/accounts/Ovis_aries/,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,,,,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,,PanTHERIA,,PanTHERIA,PanTHERIA,,,PanTHERIA,PanTHERIA,PanTHERIA,,,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
1038777,Procapra picticaudata,Procapra_picticaudata,Artiodactyla,Bovidae,Procapra,picticaudata,https://en.wikipedia.org/wiki/Goa_(antelope),https://bioone.org/journals/mammalian-species/volume-42/issue-1/861.1/Procapra-picticaudata-Artiodactyla-Bovidae/10.1644/861.1.full,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,https://en.wikipedia.org/wiki/Goa_(antelope),Data deficient,https://en.wikipedia.org/wiki/Goa_(antelope),,,,,PanTHERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328653,Rangifer tarandus,Rangifer_tarandus,Artiodactyla,Cervidae,Rangifer,tarandus,https://en.wikipedia.org/wiki/Reindeer,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,,PanTHERIA,PanTHERIA,PanTHERIA,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
308523,Rucervus duvaucelii,Rucervus_duvaucelii,Artiodactyla,Cervidae,Rucervus,duvaucelii,https://en.wikipedia.org/wiki/Barasingha,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,,,,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
328663,Sus scrofa,Sus_scrofa,Artiodactyla,Suidae,Sus,scrofa,https://en.wikipedia.org/wiki/Wild_boar,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
328339,Tragulus javanicus,Tragulus_javanicus,Artiodactyla,Tragulidae,Tragulus,javanicus,https://en.wikipedia.org/wiki/Java_mouse-deer,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,,,,,PanTHERIA,,PanTHERIA,,,,,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,,,,,,ADW,,,,,,,,,,,,,,,,,,
32137235,Tragulus kanchil,Tragulus_kanchil,Artiodactyla,Tragulidae,Tragulus,kanchil,https://en.wikipedia.org/wiki/Lesser_mouse-deer,https://www.ecologyasia.com/verts/mammals/lesser_mousedeer.htm,https://www.ecologyasia.com/verts/mammals/lesser_mousedeer.htm,Data deficient,Data deficient,Data deficient,Data deficient,Data deficient,Data deficient,https://www.ecologyasia.com/verts/mammals/lesser_mousedeer.htm,Data deficient,"https://animalia.bio/lesser-mouse-deer#:~:text=The%20breeding%20season%20of%20Lesser,dense%20brush%20until%20it's%20weaned.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309016,Vicugna vicugna,Vicugna_vicugna,Artiodactyla,Camelidae,Vicugna,vicugna,https://animaldiversity.org/accounts/Vicugna_vicugna/,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,,,,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
331074,Addax nasomaculatus,Addax_nasomaculatus,Artiodactyla,Bovidae,Addax,nasomaculatus,https://en.wikipedia.org/wiki/Addax,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,,,PanTHERIA,PanTHERIA,,PanTHERIA,,,,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
308540,Aepyceros melampus,Aepyceros_melampus,Artiodactyla,Bovidae,Aepyceros,melampus,https://en.wikipedia.org/wiki/Impala,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,,,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
308529,Alcelaphus buselaphus,Alcelaphus_buselaphus,Artiodactyla,Bovidae,Alcelaphus,buselaphus,https://animaldiversity.org/accounts/Alcelaphus_buselaphus/,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
4447799,Alcelaphus caama,Alcelaphus_caama,Artiodactyla,Bovidae,Alcelaphus,caama,https://en.wikipedia.org/wiki/Red_hartebeest,https://www.gbif.org/species/165773958,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,https://en.wikipedia.org/wiki/Red_hartebeest,Data deficient,https://en.wikipedia.org/wiki/Red_hartebeest,,,,,,,PanTHERIA,,,PanTHERIA,,,,PanTHERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,
308535,Alcelaphus lichtensteinii,Alcelaphus_lichtensteinii,Artiodactyla,Bovidae,Alcelaphus,lichtensteinii,https://en.wikipedia.org/wiki/Lichtenstein%27s_hartebeest,https://en.wikipedia.org/wiki/Lichtenstein%27s_hartebeest,PanTHERIA,Data deficient,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,,,PanTHERIA,,PanTHERIA,,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,,,,,,,,,,,,,,,,,,,,,,,,,
328654,Alces alces,Alces_alces,Artiodactyla,Cervidae,Alces,alces,https://en.wikipedia.org/wiki/Moose,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
2921075,Alces americanus,Alces_americanus,Artiodactyla,Cervidae,Alces,americanus,https://animaldiversity.org/accounts/Alces_americanus/,https://animaldiversity.org/accounts/Alces_americanus/#behavior,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,,,,,PanTHERIA,,PanTHERIA,PanTHERIA,,,,PanTHERIA,,,,PanTHERIA,PanTHERIA,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
308536,Ammodorcas clarkei,Ammodorcas_clarkei,Artiodactyla,Bovidae,Ammodorcas,clarkei,https://animaldiversity.org/accounts/Ammodorcas_clarkei/,https://animaldiversity.org/accounts/Ammodorcas_clarkei/#behavior,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,https://animaldiversity.org/accounts/Ammodorcas_clarkei/,Data deficient,PanTHERIA,PanTHERIA,,,,PanTHERIA,,PanTHERIA,,,PanTHERIA,,,,PanTHERIA,PanTHERIA,,,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
328662,Ammotragus lervia,Ammotragus_lervia,Artiodactyla,Bovidae,Ammotragus,lervia,https://en.wikipedia.org/wiki/Barbary_sheep,https://en.wikipedia.org/wiki/Barbary_sheep#Habitats,PanTHERIA,Data deficient,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,,,,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
308537,Antidorcas marsupialis,Antidorcas_marsupialis,Artiodactyla,Bovidae,Antidorcas,marsupialis,https://en.wikipedia.org/wiki/Springbok,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,,,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,,,PanTHERIA,PanTHERIA,PanTHERIA,,,,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
328661,Antilocapra americana,Antilocapra_americana,Artiodactyla,Antilocapridae,Antilocapra,americana,https://animaldiversity.org/accounts/Antilocapra_americana/,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
311909,Antilope cervicapra,Antilope_cervicapra,Artiodactyla,Bovidae,Antilope,cervicapra,https://en.wikipedia.org/wiki/Blackbuck,https://en.wikipedia.org/wiki/Blackbuck#Ecology_and_behaviour,PanTHERIA,Data deficient,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,,,,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
313989,Axis axis,Axis_axis,Artiodactyla,Cervidae,Axis,axis,https://en.wikipedia.org/wiki/Chital,https://animaldiversity.org/accounts/Axis_axis/#behavior,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,https://en.wikipedia.org/wiki/Chital,Data deficient,PanTHERIA,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,PanTHERIA,PanTHERIA,,PanTHERIA,,PanTHERIA,,,,,PanTHERIA,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
308522,Axis calamianensis,Axis_calamianensis,Artiodactyla,Cervidae,Axis,calamianensis,https://en.wikipedia.org/wiki/Calamian_deer,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,https://en.wikipedia.org/wiki/Calamian_deer,Data deficient,PanTHERIA,,,,,PanTHERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308520,Axis kuhlii,Axis_kuhlii,Artiodactyla,Cervidae,Axis,kuhlii,https://en.wikipedia.org/wiki/Bawean_deer,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,,,,,PanTHERIA,PanTHERIA,,,,PanTHERIA,,,,,,PanTHERIA,,,,,,,,,,,,,,,,,,,,,,,,,
308521,Axis porcinus,Axis_porcinus,Artiodactyla,Cervidae,Axis,porcinus,https://animaldiversity.org/accounts/Axis_porcinus/,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0210382#pone.0210382.ref053,PanTHERIA,Data deficient,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,,PanTHERIA,,,PanTHERIA,,PanTHERIA,PanTHERIA,,PanTHERIA,,PanTHERIA,PanTHERIA,,,PanTHERIA,,,,ADW,,"ADW, PanTHERIA",ADW,,,,,,,,,,,,,,,,,,
328330,Babyrousa babyrussa,Babyrousa_babyrussa,Artiodactyla,Suidae,Babyrousa,babyrussa,https://animaldiversity.org/accounts/Babyrousa_babyrussa/,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,Data deficient,Data deficient,Data deficient,Data deficient,PanTHERIA,Data deficient,PanTHERIA,PanTHERIA,,,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,,,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,PanTHERIA,,,,,,ADW,,,,,,,,,,,,,,,,,,
37069574,Babyrousa bolabatuensis,Babyrousa_bolabatuensis,Artiodactyla,Suidae,Babyrousa,bolabatuensis,https://en.wikipedia.org/wiki/Babyrousa_bolabatuensis,https://eol.org/pages/42319/articles,"Note: Babyrousa bolabatuensis was originally classified as a subspeicies of Babyrousa babyrousa and are likely to be similar in weight https://www.monaconatureencyclopedia.com/babyrousa-babyrussa/?lang=en#:~:text=It%20has%20a%20roundish%20body,of%20about%2060%2D100%20kg.",Data deficient,Data deficient,Data deficient,Data deficient,Data deficient,Data deficient,Data deficient,Data deficient,Data deficient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Note: Babyrousa bolabatuensis was originally classified as a subspeicies of Babyrousa babyrousa and are likely to be similar in weight https://www.monaconatureencyclopedia.com/babyrousa-babyrussa/?lang=en#:~:text=It%20has%20a%20roundish%20body,of%20about%2060%2D100%20kg.",,,,,,,,,,
4445606,Babyrousa celebensis,Babyrousa_celebensis,Artiodactyla,Suidae,Babyrousa,celebensis,https://en.wikipedia.org/wiki/North_Sulawesi_babirusa,http://www.ultimateungulate.com/Artiodactyla/Babyrousa_celebensis.html,https://en.wikipedia.org/wiki/North_Sulawesi_babirusa,Data deficient,Data deficient,Data deficient,Data deficient,Data deficient,Data deficient,https://sweet-metazoa.tumblr.com/post/140255663297/babyrousa-celebensis,Data deficient,http://www.ultimateungulate.com/Artiodactyla/Babyrousa_celebensis.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
