 OriginalName,ShortName,Source,URI,Units,Definition
6-1_DietBreadth,DietBreadth,PanTHERIA,http://eol.org/schema/terms/DietBreadth,count," Number of dietary categories eaten by an organism."
7-1_DispersalAge_d,DispersalAge,PanTHERIA,,days,"Age at which young permanently leave the parent, parental group, social group or any associated territories, using non-captive, wild, non-provisioned or unspecified populations; male, female, or sex unspecified individuals; primary, secondary, or extrapolated sources; all measures of central tendency; in all localities."
9-1_GestationLen_d,GestationLen,PanTHERIA,http://purl.obolibrary.org/obo/VT_0002292,days,"The length of time between when a fertilized egg implants in the wall of the uterus and the birth of offspring."
12-1_HabitatBreadth,HabitatBreadth,PanTHERIA,http://eol.org/schema/terms/HabitatBreadth,count,"Number of habitat layers used by an organism."
22-1_HomeRange_km2,HomeRange,PanTHERIA,http://eol.org/schema/terms/HomeRange,km2,"Size of the area within which everyday activities of individuals or groups (of any type) are typically restricted."
22-2_HomeRange_Indiv_km2,HomeRange_Indiv,PanTHERIA,,km2,"Size of the area within which everyday activities of individuals are typically restricted, estimated by either direct observation, radio telemetry, trapping or unspecified methods over any duration of time, using non-captive populations; male, female, or sex unspecified individuals; primary, secondary, or extrapolated sources; all measures of central tendency; in all localities."
14-1_InterbirthInterval_d,InterbirthInterval,PanTHERIA,http://eol.org/schema/terms/InterBirthInterval,days,"The length of time between successive births of a female."
15-1_LitterSize,LitterSize,PanTHERIA,,count,"Number of offspring born per litter per female, either counted before birth, at birth or after birth, using captive, wild, provisioned, or unspecified populations; male, female, or sex unspecified individuals; primary, secondary, or extrapolated sources; all measures of central tendency; in all localities."
16-1_LittersPerYear,LittersPerYear,PanTHERIA,,count,"Number of litters per female per year using non-captive, wild, provisioned, or unspecified populations; male, female, or sex unspecified individuals; primary, secondary, or extrapolated sources; all measures of central tendency; in all localities."
17-1_MaxLongevity_m,MaxLongevity,PanTHERIA,,months,"Maximum adult age measured either through direct observation, capture-recapture estimates, projected from physical wear or unspecified, using captive, wild, provisioned, or unspecified populations; male, female, or sex unspecified individuals; primary, secondary, or extrapolated sources; in all localities."
5-3_NeonateBodyMass_g,NeanateBodyMass,PanTHERIA,,grams,"Mass of live or freshly-killed specimens of infants at either a near term embryonic stage, birth, immediately after birth or up to an age of seven days after birth, using captive, wild, provisioned, or unspecified populations; male, female, or sex unspecified individuals; primary, secondary, or extrapolated sources; all measures of central tendency; in all localities."
13-2_NeonateHeadBodyLen_mm,NeonateHeadBodyLen,PanTHERIA,,milimeters,"Total length from tip of nose to anus or base of tail of live, freshly-killed, or museum specimens of infants at either a near term embryonic stage, birth, immediately after birth or up to an age of seven days after birth, using captive, wild, provisioned, or unspecified populations; male, female, or sex unspecified individuals; primary, secondary, or extrapolated sources; all measures of central tendency; in all localities."
21-1_PopulationDensity_n/km2,PopulationDensity,PanTHERIA,,count/km2,"Number of individuals per square kilometer, estimated with either direct, indirect or unspecified counts, measured in any area size within a human, ecological or unspecified boundary, over any duration of time, using non-captive, non-provisioned populations; male, female, or sex unspecified individuals; primary, secondary, or extrapolated sources; all measures of central tendency; in all localities."
10-1_PopulationGrpSize,PopulationGrpSize,PanTHERIA,,count,"Number of individuals, adults or definition unspecified in a group that spends the majority of their time in a 24 hour cycle together, measured over any duration of time, using non-captive populations; male, female, or sex unspecified individuals; primary, secondary, or extrapolated sources; all measures of central tendency; in all localities."
