ID_EoL,BinomialName,Order,Family,Genus,Species,Domestication,1-1_ActivityCycle,5-1_AdultBodyMass_g,8-1_AdultForearmLen_mm,13-1_AdultHeadBodyLen_mm,2-1_AgeatEyeOpening_d,3-1_AgeatFirstBirth_d,18-1_BasalMetRate_mLO2hr,5-2_BasalMetRateMass_g,6-1_DietBreadth,7-1_DispersalAge_d,9-1_GestationLen_d,12-1_HabitatBreadth,22-1_HomeRange_km2,22-2_HomeRange_Indiv_km2,14-1_InterbirthInterval_d,15-1_LitterSize,16-1_LittersPerYear,17-1_MaxLongevity_m,5-3_NeonateBodyMass_g,13-2_NeonateHeadBodyLen_mm,21-1_PopulationDensity_n/km2,10-1_PopulationGrpSize,23-1_SexualMaturityAge_d,10-2_SocialGrpSize,24-1_TeatNumber,12-2_Terrestriality,6-2_TrophicLevel,25-1_WeaningAge_d,5-4_WeaningBodyMass_g,13-3_WeaningHeadBodyLen_mm,Diet,GestationPeriod,AVGFoodConsumption,Sociality,SocialHierarchy,NumMales,MaturityReachMale,MaturityReachFemale,MatingSystem,NumOffspring,BreedingInterval,YearRoundBreeding,AVGWeight,ParentalCare,DevelopmentStrategy,Horns/Antler,Topspeed,Lifespan,NaturalPredators,Motility,CarryWeight,PullStrength,AVGMovingSpeed,AVGTravelDistance
328661,Antilocapra_americana,Artiodactyla,Antilocapridae,Antilocapra,americana,,-999.00,47450.01,-999.00,1310.00,-999.00,365.00,8960.00,32000.00,2.00,-999.00,247.99,1.00,8.05,9.53,365.00,1.93,1.00,144.00,3454.70,-999.00,0.82,1000.00,534.68,12.00,-999,1.00,1,87.54,9662.00,-999.00,4,252 ,,2,1,,24.0000,5.0000,3,1.93,365,2,46,2,1,,,11,,1,,,,
311909,Antilope_cervicapra,Artiodactyla,Bovidae,Antilope,cervicapra,,-999.00,36301.10,-999.00,1250.00,-999.00,669.16,-999.00,-999.00,5.00,-999.00,166.59,1.00,0.62,-999.00,212.56,1.22,2.00,243.00,3386.14,-999.00,4.25,27.50,700.04,30.00,-999,1.00,1,59.50,-999.00,-999.00,NA,167.2918,,2,1,,NA,15.3205,NA,1.22,231,NA,37,2,1,,,21,,1,,,,
313989,Axis_axis,Artiodactyla,Cervidae,Axis,axis,,-999.00,69499.99,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,227.49,-999.00,0.67,2.67,425.83,1.01,-999.00,249.60,3156.86,-999.00,6.69,-999.00,543.68,-999.00,-999,-999.00,-999,121.66,-999.00,-999.00,4,228.1252,,2,1,,30.0164,15.5000,NA,1.01,426,2,36,2,NA,,,20,,1,,,,
308522,Axis_calamianensis,Artiodactyla,Cervidae,Axis,calamianensis,,3.00,39812.60,-999.00,1387.44,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,224.00,-999.00,-999.00,-999.00,-999.00,2.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999,-999.00,-999,-999.00,-999.00,-999.00,NA,NA,,NA,2,,NA,NA,NA,2,NA,NA,40,NA,NA,,,20,,NA,,,,
308520,Axis_kuhlii,Artiodactyla,Cervidae,Axis,kuhlii,,3.00,54999.99,-999.00,1375.00,-999.00,-999.00,-999.00,-999.00,2.00,-999.00,227.49,-999.00,-999.00,-999.00,-999.00,1.22,1.30,-999.00,-999.00,-999.00,4.44,-999.00,-999.00,-999.00,-999,-999.00,1,-999.00,-999.00,-999.00,NA,NA,,NA,2,,NA,NA,NA,1.22,NA,NA,55,2,NA,,,20,,1,,,,
308521,Axis_porcinus,Artiodactyla,Cervidae,Axis,porcinus,,-999.00,37448.29,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,3.00,-999.00,220.13,-999.00,0.52,-999.00,-999.00,1.00,-999.00,240.00,2483.33,-999.00,16.50,-999.00,464.04,1.80,-999,-999.00,1,-999.00,-999.00,-999.00,4,243.3336,,1,2,,10.0000,10.0000,3,1,NA,2,43,2,1,,,20,,NA,,,,
328330,Babyrousa_babyrussa,Artiodactyla,Suidae,Babyrousa,babyrussa,,3.00,92950.09,-999.00,950.00,-999.00,-999.00,-999.00,-999.00,6.00,-999.00,156.50,1.00,-999.00,-999.00,-999.00,1.73,1.50,288.00,715.00,-999.00,-999.00,-999.00,362.50,4.50,4,1.00,2,212.91,-999.00,-999.00,NA,153 ,,NA,2,,18.0164,18.0164,NA,1.73,NA,NA,71,2,NA,,,24,,1,,,,
37069574,Babyrousa_bolabatuensis,Artiodactyla,Suidae,Babyrousa,bolabatuensis,,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999,-999.00,-999,-999.00,-999.00,-999.00,NA,NA,,NA,2,,NA,NA,NA,NA,NA,NA,NA,2,NA,,,NA,,NA,,,,
4445606,Babyrousa_celebensis,Artiodactyla,Suidae,Babyrousa,celebensis,,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999,-999.00,-999,-999.00,-999.00,-999.00,NA,NA,,NA,2,,NA,NA,NA,NA,NA,NA,NA,2,NA,,,NA,,NA,,,,
4472391,Babyrousa_togeanensis,Artiodactyla,Suidae,Babyrousa,togeanensis,,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999.00,-999,-999.00,-999,-999.00,-999.00,-999.00,NA,NA,,NA,2,,NA,NA,NA,NA,NA,NA,NA,2,NA,,,NA,,NA,,,,
